salary,age,height,weight,gp,pts,reb,ast,net_rtg,oreb_p,dreb_p,usg_p,ts_p,ast_p,foreign
3902439,25,78,222,37,4.2,3.6,1.4,4,0.059,0.179,0.169,0.49,0.157,0
3833333,26,73,200,38,2.9,1.3,0.9,-0.9,0.016,0.088,0.144,0.439,0.122,0
3822240,20,73,170,24,5.9,1.6,2,-14.1,0.023,0.083,0.209,0.466,0.239,0
3804360,22,77,216,41,4.6,2.5,0.5,-0.6,0.039,0.098,0.121,0.515,0.041,0
3804150,30,70,195,49,6,1.9,3.9,-10.4,0.016,0.078,0.145,0.521,0.279,1
3768342,24,76,190,45,7.4,1.9,1.6,6.7,0.012,0.078,0.155,0.529,0.109,0
3749520,24,77,190,45,13.2,4.2,2.2,0,0.024,0.118,0.206,0.528,0.11,1
3731707,28,84,250,31,6.5,4.8,1.2,-6.4,0.08,0.182,0.167,0.569,0.098,1
3631200,22,77,215,36,3.3,1.7,0.3,-1.1,0.022,0.129,0.164,0.464,0.05,0
3562080,19,77,211,29,3.1,1.3,0.3,-2.6,0.023,0.116,0.153,0.509,0.06,0
3500000,30,82,240,42,7.9,3,0.5,1.3,0.03,0.167,0.195,0.632,0.061,0
3500000,33,87,290,16,4.9,1.9,0.1,14.3,0.076,0.225,0.326,0.627,0.041,1
3449400,21,75,185,39,17.8,5.9,6.1,-3.5,0.018,0.154,0.256,0.511,0.292,0
3383640,22,78,224,46,6,2.3,0.9,2,0.03,0.092,0.137,0.553,0.065,0
3333333,29,72,185,27,5.6,0.9,1.6,2.9,0.007,0.072,0.256,0.502,0.253,0
3300000,28,79,230,47,9.4,2.7,1.4,4.9,0.015,0.093,0.169,0.576,0.092,0
3277080,20,80,250,43,8,8.1,1.1,-12.9,0.095,0.211,0.14,0.554,0.071,0
3277080,23,78,229,42,8,4.5,1.5,-8.5,0.024,0.16,0.158,0.497,0.099,0
3261480,23,77,205,48,12.9,3.3,2.8,-4.6,0.026,0.097,0.243,0.472,0.167,1
3214680,19,82,243,43,8.6,4.6,2.4,-9.2,0.088,0.168,0.218,0.566,0.213,1
3113160,20,84,190,36,4.6,4,1.1,-5.1,0.051,0.199,0.186,0.414,0.12,1
3098400,22,84,250,30,4.5,2.9,0.6,-2.4,0.126,0.144,0.201,0.5,0.082,1
3053760,21,80,206,37,4,2.2,0.5,-3,0.049,0.116,0.134,0.493,0.066,0
3000000,26,77,219,36,3.9,3.5,0.8,3.2,0.041,0.197,0.127,0.523,0.082,0
3000000,23,75,205,38,11.4,1.6,0.9,-6.5,0.013,0.056,0.208,0.556,0.071,0
2957520,21,77,200,37,4.5,1.8,1.3,8.1,0.049,0.085,0.134,0.598,0.139,1
2901240,21,75,178,37,7.8,2.1,0.8,-6.3,0.016,0.09,0.194,0.511,0.078,0
2840160,24,77,201,37,5.7,2.4,1.1,1.6,0.021,0.07,0.094,0.582,0.061,0
2824320,22,79,215,51,15.5,5.8,2.6,-11.1,0.036,0.136,0.208,0.51,0.127,0
2770560,21,82,221,16,0.9,0.5,0.3,-15.2,0.047,0.125,0.142,0.651,0.143,1
2726880,25,80,215,39,9.9,5.1,1.3,5.7,0.093,0.151,0.17,0.671,0.106,1
2711280,22,80,225,41,7.7,7.3,1.2,1.1,0.085,0.21,0.162,0.458,0.073,1
2659560,20,80,219,13,1.9,1.2,0.1,-11.8,0,0.214,0.18,0.578,0.034,0
2641691,34,76,207,33,6.2,1.7,0.7,-5.5,0.012,0.073,0.127,0.575,0.052,0
2641691,41,80,235,9,2.9,2,0.3,7.5,0.074,0.25,0.188,0.557,0.077,0
2641691,36,80,215,14,3.4,3.2,1.2,-6.4,0.015,0.158,0.098,0.463,0.089,0
2641691,36,79,257,24,3.4,3.7,1,-0.6,0.093,0.19,0.157,0.443,0.14,0
2641691,32,81,245,10,7.7,2.8,1.4,9.5,0.072,0.073,0.19,0.533,0.102,0
2641691,36,83,250,36,13.4,5.6,0.9,3.3,0.068,0.163,0.223,0.601,0.057,0
2641691,34,79,240,36,5.3,3.5,1.9,0,0.051,0.118,0.131,0.525,0.148,0
2641691,29,82,250,33,3.7,4.5,0.2,8.2,0.141,0.208,0.126,0.591,0.021,1
2641691,36,82,265,40,5.1,5.5,0.5,-1.5,0.128,0.234,0.138,0.652,0.049,0
2641691,37,79,238,49,13.6,4.2,1.1,1.5,0.031,0.112,0.192,0.582,0.058,0
2641691,38,78,215,25,4.2,3.4,3.9,9.9,0.036,0.113,0.11,0.481,0.262,0
2617800,23,78,236,48,7.2,3.3,1,1,0.036,0.107,0.118,0.658,0.067,0
2602920,21,74,200,44,16.9,3.6,4.8,2.6,0.011,0.088,0.202,0.565,0.21,0
2553120,19,76,185,15,3.5,1.4,0.9,-0.9,0.039,0.102,0.202,0.44,0.143,0
2513040,21,80,208,45,9.1,6.3,1.2,-11.6,0.035,0.186,0.174,0.489,0.07,0
2500000,26,81,234,48,10.3,4.7,1.2,-5.6,0.058,0.178,0.215,0.581,0.097,1
2498760,21,81,240,35,6.6,3.6,0.3,-2.3,0.08,0.157,0.152,0.652,0.031,0
2451120,20,82,205,19,5.5,2.8,0.4,-6.3,0.119,0.152,0.222,0.58,0.067,0
2412840,24,77,195,41,7.1,1.5,1.9,1.6,0.022,0.068,0.212,0.504,0.2,0
2401537,32,76,195,30,3.8,1.8,0.9,-8.5,0.018,0.093,0.122,0.461,0.084,0
