salary,gender,age,height,pts,ast,usg_p,foreign
8678571,0,28,77,7.5,2.4,0.091,0
8623920,0,21,78,17.5,2.5,0.25,1
8604651,0,27,77,8.4,3.9,0.136,0
8526316,0,29,77,4.3,2.5,0.11,0
8437500,0,23,74,9.8,2.7,0.2,0
8372093,0,29,81,8.4,0.8,0.167,1
8333333,0,26,74,12.7,4.2,0.181,0
8326471,0,23,73,28.1,9.2,0.341,0
8292683,0,31,80,5.9,0.8,0.186,0
8231760,0,20,79,19.9,7.7,0.269,0
8186047,0,31,74,15.5,4.1,0.184,0
8137500,0,31,83,6.8,2.9,0.117,0
8075160,0,20,83,15.2,2.6,0.199,0
8050000,0,26,79,10.8,2.0,0.201,1
7775400,0,24,80,12.8,1.1,0.195,0
7568742,0,23,84,10.2,1.3,0.165,0
7522200,0,25,72,8.0,4.1,0.155,0
7518518,0,24,84,9.6,1.3,0.152,1
7422000,0,20,79,6.6,0.6,0.093,0
7310000,0,30,75,8.5,3.9,0.15,1
7280520,0,20,79,14.7,3.4,0.183,0
7040880,0,22,73,19.8,8.2,0.255,0
7009615,0,29,81,9.0,0.4,0.179,1
7000000,0,36,77,8.7,2.2,0.123,0
7000000,0,34,71,5.4,2.2,0.158,0
6920027,0,22,82,13.6,2.6,0.195,0
6720720,0,21,77,9.2,1.8,0.139,0
6593040,0,20,77,12.3,4.2,0.243,0
6500000,0,27,73,10.5,3.6,0.246,0
6395160,0,22,78,4.0,1.0,0.186,0
6350000,0,29,81,5.5,1.2,0.115,1
6349671,0,23,73,16.0,2.1,0.264,0
6175440,0,26,81,1.2,0.3,0.128,1
6104280,0,21,80,9.2,1.1,0.141,0
6006420,0,32,78,11.1,1.9,0.156,0
5988000,0,19,80,11.7,6.2,0.212,1
5890000,0,35,80,9.0,1.1,0.19,0
5890000,0,33,72,13.8,2.6,0.168,1
5890000,0,28,73,14.4,4.3,0.227,1
5837760,0,21,76,12.9,2.7,0.203,0
5572680,0,20,77,6.2,3.9,0.143,1
5557725,0,25,78,12.9,2.1,0.139,0
5495532,0,23,78,22.7,5.5,0.289,1
5466360,0,19,79,6.8,0.5,0.233,1
5421493,0,23,79,19.9,3.4,0.221,0
5348280,0,21,83,7.6,0.4,0.179,0
5333333,0,29,77,10.2,1.3,0.132,0
5258735,0,23,82,9.9,1.9,0.192,0
5200000,0,23,77,10.6,1.3,0.203,0
5178572,0,25,81,6.2,1.7,0.128,0
5170564,0,22,78,4.7,1.2,0.125,0
5105160,0,23,81,7.7,1.0,0.195,0
5007840,0,20,82,15.8,2.9,0.211,1
5005350,0,24,80,7.1,1.3,0.189,0
5000000,0,33,84,8.4,1.8,0.194,0
5000000,0,35,74,7.1,2.0,0.226,0
5000000,0,34,84,9.8,0.6,0.22,0
4916160,0,23,80,7.8,1.0,0.203,1
4910000,0,36,81,3.4,0.6,0.091,0
4910000,0,35,77,5.7,1.3,0.137,0
4878049,0,31,79,6.5,1.2,0.14,0
4692840,0,21,81,7.4,1.6,0.145,1
4675830,0,25,76,6.8,1.7,0.19,0
4670160,0,22,80,11.3,1.0,0.224,0
4650000,0,29,77,5.4,0.8,0.152,0
4629630,0,24,79,9.0,2.4,0.174,1
4603320,0,23,72,9.8,3.3,0.191,0
4500000,0,35,80,10.4,1.2,0.166,0
