salary,age,height,weight,gp,pts,reb,ast,net_rtg,oreb_p,dreb_p,usg_p,ts_p,ast_p,foreign
72000,26,74,184,23,4.1,4.3,0.6,-5,0.086,0.195,0.126,0.534,0.063,0
70040,29,77,200,31,6.4,4.4,1.4,-7.9,0.036,0.211,0.197,0.465,0.138,0
70040,27,74,192,30,5.7,2.9,1.6,9.5,0.024,0.131,0.161,0.584,0.14,1
70040,35,70,188,28,4.3,2.4,1.6,-5.4,0.035,0.117,0.15,0.474,0.169,0
70040,26,73,182,32,8.3,3.8,0.9,-6.8,0.022,0.136,0.158,0.557,0.064,0
70040,25,73,200,18,12.9,7,2.5,-5.4,0.065,0.222,0.259,0.484,0.184,0
70040,25,76,192,31,8.1,6.5,1,-5.1,0.102,0.161,0.157,0.534,0.072,0
70040,26,78,195,30,7.3,6.1,1.6,9.6,0.071,0.178,0.126,0.648,0.105,0
70040,26,68,144,32,5.4,1.5,3,-15.3,0.015,0.076,0.15,0.517,0.286,0
70040,24,69,150,19,1.9,1,0.9,-20.5,0.017,0.096,0.162,0.377,0.171,0
70040,25,72,168,32,9.5,3.5,1.8,0.7,0.018,0.109,0.187,0.506,0.109,1
70040,26,68,160,32,17.8,2.6,2.5,-9.2,0.019,0.061,0.24,0.537,0.143,0
70040,26,66,135,29,5.8,2.3,3,2.2,0.03,0.094,0.166,0.489,0.246,0
70040,26,73,172,32,11.3,3.5,2.3,0.6,0.015,0.111,0.211,0.499,0.151,0
70040,22,77,188,28,3.4,3.6,0.2,-16.5,0.078,0.22,0.132,0.499,0.03,0
70040,26,78,180,30,7.4,4.6,0.8,1.4,0.084,0.151,0.163,0.569,0.063,0
70040,20,76,168,16,2.4,2.4,0.6,-8.2,0.063,0.207,0.18,0.421,0.108,1
70040,25,68,167,30,16.2,2.8,2.6,-2.5,0.034,0.057,0.239,0.543,0.155,0
70040,23,66,141,30,6.3,1.6,2,-4.7,0.016,0.085,0.196,0.481,0.196,0
70040,25,76,195,32,18.3,9.3,3.1,9.5,0.064,0.209,0.257,0.53,0.159,0
69360,23,76,183,17,11.9,5.9,2.8,4.5,0.057,0.185,0.229,0.529,0.192,0
69360,24,71,165,30,11.7,5.7,6.1,-5.7,0.024,0.155,0.207,0.529,0.341,0
69360,23,69,143,11,14.2,1.3,3.3,-1.2,0.016,0.036,0.256,0.521,0.22,0
67208,22,72,178,32,8.6,2.9,0.6,-5.9,0.03,0.094,0.176,0.534,0.043,0
67208,24,75,182,2,0,1,1,-45.1,0,0.118,0.146,0,0.167,0
67208,24,70,165,14,0.6,0.2,0.1,3.9,0.014,0.028,0.129,0.235,0.031,0
66555,23,70,152,32,4.4,1.6,2.7,-3.9,0.017,0.081,0.153,0.451,0.258,0
66555,23,76,190,30,5.8,4.4,0.8,4.3,0.087,0.185,0.145,0.566,0.074,0
66555,23,74,152,1,0,0,0,33.3,0,0,0,0,0,0
66555,23,76,190,31,2.6,3.3,0.5,4.9,0.096,0.145,0.095,0.556,0.059,0
64375,23,70,172,14,1.1,0.9,0.6,-26.9,0.041,0.064,0.129,0.27,0.107,0
63751,23,73,175,29,4.5,1.3,0.9,-1.2,0.015,0.07,0.193,0.406,0.103,0
63751,25,72,160,27,5.9,2.4,1.1,-11.2,0.027,0.111,0.207,0.47,0.131,0
62014,27,73,183,31,6.8,3.1,1.3,-15.6,0.02,0.132,0.184,0.432,0.102,0
61543,24,72,175,24,2.8,2,0.5,0,0.062,0.153,0.204,0.384,0.096,0
61543,22,74,164,31,2.3,1.1,0.8,-10,0.025,0.069,0.106,0.512,0.128,0
61543,24,67,157,21,1,0.9,0.6,17.6,0.024,0.101,0.102,0.455,0.133,0
61543,23,66,145,29,3.3,0.4,1,1.3,0.005,0.047,0.209,0.525,0.227,0
61543,24,71,165,25,3.2,1.3,0.6,-1.2,0.022,0.097,0.184,0.371,0.089,0
60946,23,74,168,18,3.1,1.2,0.4,-15.2,0.054,0.044,0.126,0.557,0.07,0
60946,23,76,200,30,5.7,4,1.4,-3.7,0.035,0.157,0.148,0.551,0.129,0
60946,23,73,170,30,4.3,2.8,1.1,8.7,0.065,0.106,0.147,0.449,0.114,0
60946,23,65,130,31,7.7,2,2.8,-1,0.013,0.083,0.2,0.491,0.244,0
60069,25,79,239,32,11.3,9.6,1.1,-6.2,0.125,0.242,0.187,0.573,0.069,0
60069,24,75,163,27,7,3.5,1.7,5.2,0.02,0.15,0.154,0.558,0.125,0
60069,24,72,165,32,12.2,4.1,3.2,15.3,0.022,0.099,0.166,0.563,0.144,0
58710,24,68,160,31,9.1,1.7,1.4,-7,0.006,0.074,0.233,0.48,0.132,0
58710,23,74,185,18,1.4,1.2,0.2,-17,0.109,0.106,0.136,0.418,0.06,0
58710,25,73,170,30,5.6,2,1.1,3,0.018,0.092,0.137,0.575,0.101,0
58710,33,67,147,32,5.4,2.3,2.5,-2.8,0.044,0.091,0.148,0.541,0.244,0
58710,24,68,135,32,7.6,1.8,1.9,6.4,0.01,0.082,0.169,0.558,0.16,0
58710,25,73,182,29,16.2,6.6,3.2,7.6,0.055,0.138,0.228,0.524,0.15,0
58710,25,71,170,32,13.3,3.9,2.9,-0.4,0.028,0.136,0.259,0.514,0.221,0
58710,24,73,182,23,2.9,0.8,0.3,-13.6,0.045,0.074,0.193,0.523,0.071,0
58710,23,77,206,25,2,1.8,0.8,1.9,0.076,0.121,0.154,0.409,0.132,1
58710,25,76,175,22,2,3.2,1.7,-1.3,0.103,0.195,0.127,0.441,0.248,0
58710,22,76,176,30,6.7,3.8,0.8,0.7,0.102,0.155,0.192,0.568,0.09,1
58710,28,72,170,24,8.8,3.8,1.5,-4.2,0.061,0.152,0.216,0.507,0.138,0
58710,24,73,188,32,4.8,2.3,1.5,0.8,0.038,0.083,0.122,0.525,0.12,1
58710,25,75,170,32,7.8,9.4,1.8,7,0.083,0.205,0.117,0.578,0.089,0
58710,27,82,208,7,4.9,2.6,0.3,-27.8,0.065,0.108,0.172,0.53,0.042,1
58710,25,76,190,32,1.8,2.4,0.2,-4.5,0.099,0.194,0.122,0.489,0.045,0
58710,24,68,165,32,18.7,3.2,3.3,-3.6,0.021,0.086,0.274,0.515,0.19,0
58710,25,76,180,18,1.2,1.3,0.6,-3.4,0.04,0.17,0.156,0.294,0.139,1
